date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:03:06	11661/11661	---M--	200	added ('OK')	image/jpeg	etag:%222d8d-60e32fe2-0;;;%22	https://srmnotesadda.in/wp-content/uploads/2021/07/71RAxNZ7o7L._UL1500_-min-300x268.jpg	C:/Github/devanotes.ml/devanotes.ml/srmnotesadda.in/wp-content/uploads/2021/07/71RAxNZ7o7L._UL1500_-min-300x268.jpg	(from https://srmnotesadda.in/first-year-elab-level-1-ii-2021/)
16:03:06	10183/10183	---M--	200	added ('OK')	image/jpeg	etag:%2227c7-60e33055-0;;;%22	https://srmnotesadda.in/wp-content/uploads/2021/07/71ZSpNjEl0L._SL1500_-300x300.jpg	C:/Github/devanotes.ml/devanotes.ml/srmnotesadda.in/wp-content/uploads/2021/07/71ZSpNjEl0L._SL1500_-300x300.jpg	(from https://srmnotesadda.in/first-year-elab-level-1-ii-2021/)
16:03:07	8855/8855	---M--	200	added ('OK')	image/jpeg	etag:%222297-60e330cf-0;;;%22	https://srmnotesadda.in/wp-content/uploads/2021/07/51rZ7qQuUmL._SL1080_-300x265.jpg	C:/Github/devanotes.ml/devanotes.ml/srmnotesadda.in/wp-content/uploads/2021/07/51rZ7qQuUmL._SL1080_-300x265.jpg	(from https://srmnotesadda.in/first-year-elab-level-1-ii-2021/)
16:03:08	5792/5792	---M--	200	added ('OK')	image/jpeg	etag:%2216a0-60e33160-0;;;%22	https://srmnotesadda.in/wp-content/uploads/2021/07/51ntWa1Q0sL._SL1200_-300x256.jpg	C:/Github/devanotes.ml/devanotes.ml/srmnotesadda.in/wp-content/uploads/2021/07/51ntWa1Q0sL._SL1200_-300x256.jpg	(from https://srmnotesadda.in/first-year-elab-level-1-ii-2021/)
16:03:10	10799/10799	---M--	200	added ('OK')	image/jpeg	etag:%222a2f-60e33297-0;;;%22	https://srmnotesadda.in/wp-content/uploads/2021/07/61daB8vtbL._UL1024_-300x225.jpg	C:/Github/devanotes.ml/devanotes.ml/srmnotesadda.in/wp-content/uploads/2021/07/61daB8vtbL._UL1024_-300x225.jpg	(from https://srmnotesadda.in/first-year-elab-level-1-ii-2021/)
16:03:10	6381/6381	---M--	200	added ('OK')	image/jpeg	etag:%2218ed-60e3331d-0;;;%22	https://srmnotesadda.in/wp-content/uploads/2021/07/518voHRjl-L._SL1000_-300x300.jpg	C:/Github/devanotes.ml/devanotes.ml/srmnotesadda.in/wp-content/uploads/2021/07/518voHRjl-L._SL1000_-300x300.jpg	(from https://srmnotesadda.in/first-year-elab-level-1-ii-2021/)
16:03:12	7656/7656	---M--	200	added ('OK')	image/jpeg	etag:%221de8-60e333f2-0;;;%22	https://srmnotesadda.in/wp-content/uploads/2021/07/51aOAJ5be0S._UL1000_-300x300.jpg	C:/Github/devanotes.ml/devanotes.ml/srmnotesadda.in/wp-content/uploads/2021/07/51aOAJ5be0S._UL1000_-300x300.jpg	(from https://srmnotesadda.in/first-year-elab-level-1-ii-2021/)
16:03:13	8970/8970	---MCZ	200	added ('OK')	application/javascript	etag:W/%226197c5cf-3508%22	https://stats.wp.com/e-202247.js	C:/Github/devanotes.ml/devanotes.ml/stats.wp.com/e-202247.js	(from https://srmnotesadda.in/first-year-elab-level-1-ii-2021/)
16:03:14	1127/1127	---MCZ	200	added ('OK')	text/css	etag:W/%22485-62233563-0;gz%22	https://srmnotesadda.in/wp-content/uploads/elementor/css/post-1462.css?ver=1646474595	C:/Github/devanotes.ml/devanotes.ml/srmnotesadda.in/wp-content/uploads/elementor/css/post-146237db.css	(from https://srmnotesadda.in/first-year-elab-level-1-iii-2021/)
16:03:14	2971/2971	---M-Z	200	added ('OK')	application/rss+xml	etag:%22c271679caab250c1c335d3b7265061b5%22	https://srmnotesadda.in/first-year-elab-level-1-iii-2021/feed/	C:/Github/devanotes.ml/devanotes.ml/srmnotesadda.in/first-year-elab-level-1-iii-2021/feed/index.html	(from https://srmnotesadda.in/first-year-elab-level-1-iii-2021/)
16:03:19	263134/263134	---MCZ	200	added ('OK')	application/json	etag:%221304-1669026799;gz%22	https://srmnotesadda.in/wp-json/wp/v2/posts/1462	C:/Github/devanotes.ml/devanotes.ml/srmnotesadda.in/wp-json/wp/v2/posts/1462.json	(from https://srmnotesadda.in/first-year-elab-level-1-iii-2021/)
16:03:20	2512/2512	---M-Z	200	added ('OK')	application/json	etag:%221305-1669026799;gz%22	https://srmnotesadda.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fsrmnotesadda.in%2Ffirst-year-elab-level-1-iii-2021%2F	C:/Github/devanotes.ml/devanotes.ml/srmnotesadda.in/wp-json/oembed/1.0/embedacfc.json	(from https://srmnotesadda.in/first-year-elab-level-1-iii-2021/)
16:03:20	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2021%20Nov%202022%2010:33:20%20GMT	https://srmnotesadda.in/?p=1462	C:/Github/devanotes.ml/devanotes.ml/srmnotesadda.in/index03e9.html	(from https://srmnotesadda.in/first-year-elab-level-1-iii-2021/)
16:03:21	2582/2582	---M-Z	200	added ('OK')	text/xml	etag:%221306-1669026800;gz%22	https://srmnotesadda.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fsrmnotesadda.in%2Ffirst-year-elab-level-1-iii-2021%2F&format=xml	C:/Github/devanotes.ml/devanotes.ml/srmnotesadda.in/wp-json/oembed/1.0/embed2f03	(from https://srmnotesadda.in/first-year-elab-level-1-iii-2021/)
16:03:21	73484/73484	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Nov%202022%2010:33:21%20GMT	https://srmnotesadda.in/first-year-elab-level-1-iii-2021/OneSignalSDKUpdaterWorker.js.php	C:/Github/devanotes.ml/devanotes.ml/srmnotesadda.in/first-year-elab-level-1-iii-2021/OneSignalSDKUpdaterWorker.js.php	(from https://srmnotesadda.in/first-year-elab-level-1-iii-2021/)
16:03:22	73484/73484	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Nov%202022%2010:33:22%20GMT	https://srmnotesadda.in/first-year-elab-level-1-iii-2021/OneSignalSDKWorker.js.php	C:/Github/devanotes.ml/devanotes.ml/srmnotesadda.in/first-year-elab-level-1-iii-2021/OneSignalSDKWorker.js.php	(from https://srmnotesadda.in/first-year-elab-level-1-iii-2021/)
16:03:23	4694/4694	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2010:33:23%20GMT	https://srmnotesadda.in/cdn-cgi/l/email-protection	C:/Github/devanotes.ml/devanotes.ml/srmnotesadda.in/cdn-cgi/l/email-protection.html	(from https://srmnotesadda.in/first-year-elab-level-1-iii-2021/)
16:03:24	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%226373d5fa-4d7%22	https://srmnotesadda.in/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Github/devanotes.ml/devanotes.ml/srmnotesadda.in/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://srmnotesadda.in/first-year-elab-level-1-iii-2021/)
16:04:52	7169/7169	---MC-	524	error ('Unknown%20error')	text/html	date:Mon,%2021%20Nov%202022%2010:34:51%20GMT	https://srmnotesadda.in/first-year-elab-level-1-ii-2021/?replytocom=16	C:/Github/devanotes.ml/devanotes.ml/srmnotesadda.in/first-year-elab-level-1-ii-2021/index6f0d.html	(from https://srmnotesadda.in/first-year-elab-level-1-ii-2021/)
16:04:53	7167/7167	---MC-	524	error ('Unknown%20error')	text/html	date:Mon,%2021%20Nov%202022%2010:34:51%20GMT	https://srmnotesadda.in/first-year-elab-level-1-ii-2021/?replytocom=15	C:/Github/devanotes.ml/devanotes.ml/srmnotesadda.in/first-year-elab-level-1-ii-2021/index8528.html	(from https://srmnotesadda.in/first-year-elab-level-1-ii-2021/)
16:04:54	1127/1127	---MCZ	200	added ('OK')	text/css	etag:W/%22485-622348d2-0;gz%22	https://srmnotesadda.in/wp-content/uploads/elementor/css/post-1200.css?ver=1646479570	C:/Github/devanotes.ml/devanotes.ml/srmnotesadda.in/wp-content/uploads/elementor/css/post-12004f38.css	(from https://srmnotesadda.in/first-year-elab-level-2-2021/)
16:04:54	921/921	---M-Z	200	added ('OK')	application/rss+xml	etag:%22c271679caab250c1c335d3b7265061b5%22	https://srmnotesadda.in/first-year-elab-level-2-2021/feed/	C:/Github/devanotes.ml/devanotes.ml/srmnotesadda.in/first-year-elab-level-2-2021/feed/index.html	(from https://srmnotesadda.in/first-year-elab-level-2-2021/)
16:04:57	127052/127052	---MCZ	200	added ('OK')	application/json	etag:%221308-1669026896;gz%22	https://srmnotesadda.in/wp-json/wp/v2/posts/1200	C:/Github/devanotes.ml/devanotes.ml/srmnotesadda.in/wp-json/wp/v2/posts/1200.json	(from https://srmnotesadda.in/first-year-elab-level-2-2021/)
16:04:57	2486/2486	---M-Z	200	added ('OK')	application/json	etag:%221309-1669026897;gz%22	https://srmnotesadda.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fsrmnotesadda.in%2Ffirst-year-elab-level-2-2021%2F	C:/Github/devanotes.ml/devanotes.ml/srmnotesadda.in/wp-json/oembed/1.0/embedc30c.json	(from https://srmnotesadda.in/first-year-elab-level-2-2021/)
16:04:57	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2021%20Nov%202022%2010:34:57%20GMT	https://srmnotesadda.in/?p=1200	C:/Github/devanotes.ml/devanotes.ml/srmnotesadda.in/index6d80.html	(from https://srmnotesadda.in/first-year-elab-level-2-2021/)
16:04:58	2556/2556	---M-Z	200	added ('OK')	text/xml	etag:%221310-1669026898;gz%22	https://srmnotesadda.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fsrmnotesadda.in%2Ffirst-year-elab-level-2-2021%2F&format=xml	C:/Github/devanotes.ml/devanotes.ml/srmnotesadda.in/wp-json/oembed/1.0/embede6b7	(from https://srmnotesadda.in/first-year-elab-level-2-2021/)
16:04:59	73484/73484	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Nov%202022%2010:34:59%20GMT	https://srmnotesadda.in/first-year-elab-level-2-2021/OneSignalSDKUpdaterWorker.js.php	C:/Github/devanotes.ml/devanotes.ml/srmnotesadda.in/first-year-elab-level-2-2021/OneSignalSDKUpdaterWorker.js.php	(from https://srmnotesadda.in/first-year-elab-level-2-2021/)
16:05:00	73483/73483	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Nov%202022%2010:35:00%20GMT	https://srmnotesadda.in/first-year-elab-level-2-2021/OneSignalSDKWorker.js.php	C:/Github/devanotes.ml/devanotes.ml/srmnotesadda.in/first-year-elab-level-2-2021/OneSignalSDKWorker.js.php	(from https://srmnotesadda.in/first-year-elab-level-2-2021/)
16:05:02	1226/1226	---MCZ	200	added ('OK')	text/css	etag:W/%224e9-62234421-0;gz%22	https://srmnotesadda.in/wp-content/uploads/elementor/css/post-1209.css?ver=1646478369	C:/Github/devanotes.ml/devanotes.ml/srmnotesadda.in/wp-content/uploads/elementor/css/post-12093b65.css	(from https://srmnotesadda.in/first-year-elab-level-3-2021/)
16:05:02	7167/7167	---MC-	524	error ('Unknown%20error')	text/html	date:Mon,%2021%20Nov%202022%2010:35:02%20GMT	https://srmnotesadda.in/first-year-elab-level-1-iii-2021/?replytocom=20	C:/Github/devanotes.ml/devanotes.ml/srmnotesadda.in/first-year-elab-level-1-iii-2021/indexa82a.html	(from https://srmnotesadda.in/first-year-elab-level-1-iii-2021/)
16:05:03	921/921	---M-Z	200	added ('OK')	application/rss+xml	etag:%22c271679caab250c1c335d3b7265061b5%22	https://srmnotesadda.in/first-year-elab-level-3-2021/feed/	C:/Github/devanotes.ml/devanotes.ml/srmnotesadda.in/first-year-elab-level-3-2021/feed/index.html	(from https://srmnotesadda.in/first-year-elab-level-3-2021/)
16:05:04	7167/7167	---MC-	524	error ('Unknown%20error')	text/html	date:Mon,%2021%20Nov%202022%2010:35:04%20GMT	https://srmnotesadda.in/first-year-elab-level-1-iii-2021/?replytocom=21	C:/Github/devanotes.ml/devanotes.ml/srmnotesadda.in/first-year-elab-level-1-iii-2021/index06ab.html	(from https://srmnotesadda.in/first-year-elab-level-1-iii-2021/)
